sampleId,buildingType,numFloors,floorHeight,numBeams,numColumns,beamSection,columnSection,concreteStrength,steelGrade,steelGradeName,seismicZone,windLoad,liveLoad,deadLoad,maxDeflection,maxStress,stabilityIndex,seismicResistance
1,residential,12,3.3,144,64,45,60,80,355,S355,Zone 0,0.69,1.64,4.3,4470.31,11.03,100.0,100.0
2,industrial,1,4.5,24,9,16,36,45,460,S460,Zone 1,0.59,5.7,7.17,110.64,504.55,97.56,89.25
3,commercial,1,4.5,24,9,14,22,30,460,S460,Zone 1,0.4,4.56,5.77,141.81,577.04,55.8,85.85
4,residential,6,2.7,84,36,26,26,35,275,S275,Zone 2,0.48,2.05,3.37,2823.53,52.71,100.0,76.58
5,industrial,3,5.0,40,16,24,45,50,420,S420,Zone 0,0.73,6.36,9.31,445.29,175.59,70.86,98.67
6,office,5,4.5,40,16,22,45,50,235,S235,Zone 3,0.62,3.72,5.41,3086.64,146.44,75.7,70.44
7,residential,4,2.7,60,25,22,40,25,235,S235,Zone 0,0.48,2.23,4.28,103.14,98.49,89.51,87.5
8,residential,6,2.7,40,16,24,40,50,355,S355,Zone 2,0.55,1.61,3.06,833.64,52.69,100.0,81.52
9,office,15,4.5,220,100,45,60,90,460,S460,Zone 1,0.58,2.74,5.86,42494.82,15.7,100.0,100.0
10,commercial,4,4.0,40,16,26,45,70,235,S235,Zone 1,0.88,4.35,5.61,600.72,92.43,100.0,90.82
11,office,10,4.0,180,81,36,36,35,235,S235,Zone 0,0.67,3.54,5.42,45521.43,34.21,100.0,90.0
12,residential,12,3.0,220,100,45,45,20,355,S355,Zone 2,0.75,2.05,4.19,13719.23,10.8,100.0,81.63
13,residential,8,2.7,84,36,32,60,90,235,S235,Zone 0,0.73,2.36,3.65,343.4,30.97,100.0,100.0
14,commercial,2,4.5,24,9,10,26,50,275,S275,Zone 3,0.85,4.21,6.08,858.24,1576.48,42.6,59.26
15,residential,15,2.7,220,100,30,50,40,460,S460,Zone 3,0.49,2.2,4.69,8761.99,40.55,100.0,81.68
16,commercial,5,3.5,60,25,40,60,30,235,S235,Zone 2,0.39,4.55,6.38,159.16,26.14,100.0,75.43
17,commercial,1,3.5,24,9,14,14,20,420,S420,Zone 2,0.74,4.59,6.96,192.39,737.27,46.24,74.08
18,office,6,3.5,84,36,40,40,40,420,S420,Zone 2,0.69,3.47,4.35,2467.51,21.59,100.0,83.58
19,industrial,1,4.5,24,9,24,24,40,355,S355,Zone 4,0.44,5.95,7.07,26.73,148.69,89.06,47.22
20,residential,8,3.3,84,36,40,45,45,275,S275,Zone 1,0.56,2.35,3.27,3543.61,14.38,100.0,88.41
21,residential,4,3.0,24,9,40,40,80,235,S235,Zone 2,0.41,1.9,3.1,176.9,11.46,100.0,81.25
22,office,8,4.5,84,36,26,60,80,460,S460,Zone 3,1.31,2.56,4.61,8969.35,63.8,100.0,87.46
23,commercial,2,3.5,40,16,16,26,35,355,S355,Zone 2,0.98,4.52,5.65,181.36,383.8,51.41,75.72
24,office,4,3.5,40,16,30,50,50,235,S235,Zone 2,0.5,3.16,4.48,133.91,42.93,100.0,77.11
25,industrial,2,4.5,40,16,24,32,45,460,S460,Zone 1,0.56,8.79,6.06,106.6,158.22,74.42,89.25
26,residential,10,2.7,144,64,32,50,50,420,S420,Zone 0,0.67,2.12,4.27,1673.52,30.8,100.0,98.67
27,office,8,3.5,60,25,30,40,60,275,S275,Zone 0,1.19,3.36,4.78,18196.26,48.43,100.0,97.31
28,office,20,4.5,220,100,30,32,90,420,S420,Zone 1,0.71,2.56,5.24,2468655.2,48.26,100.0,100.0
29,residential,6,3.0,60,25,26,60,50,420,S420,Zone 2,0.6,1.54,3.84,231.83,50.06,100.0,84.17
30,office,10,4.5,112,49,36,50,25,235,S235,Zone 3,0.89,3.79,4.86,57063.91,31.56,100.0,74.56
31,residential,10,3.0,112,49,50,50,90,355,S355,Zone 1,0.45,1.59,3.64,2078.48,7.39,100.0,98.02
32,office,10,3.5,112,49,36,50,70,420,S420,Zone 2,1.3,3.68,4.18,13485.51,24.88,100.0,94.42
33,office,8,4.5,60,25,26,28,70,275,S275,Zone 3,1.45,3.14,4.45,285968.51,75.44,100.0,82.37
